"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"14.09.2026";"Lønn fra Pizzabakeren  ";"17.09.2026";"";8940.2
"14.09.2026";"Giro  841 Fremtind Forsikring Efaktura ";"15.09.2026";169.39;""
"13.09.2026";"Kontoregulering  818 Mobil Overføring  ";"13.09.2026";137;""
"11.09.2026";"Varekjøp Biltema Forus Kirkegata Stavanger Dato 11.09 kl. 20.24 ";"14.09.2026";336.76;""
"10.09.2026";"Varekjøp Rema Hillevåg Pedersgata Stavanger Dato 10.09 kl. 11.28 ";"12.09.2026";376.01;""
"08.09.2026";"Visa  100141  Nok 179,51 Paypal :discord ";"10.09.2026";179.51;""
"08.09.2026";"Kontoregulering  817 Til Sparekonto  ";"11.09.2026";967;""
"07.09.2026";"Giro  840 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"08.09.2026";304.81;""
"04.09.2026";"Varekjøp XXL Forus Kirkegata Stavanger Dato 04.09 kl. 17.42 ";"06.09.2026";876.6;""
"01.09.2026";"Visa  100539  Usd 45,03 Parking City Center Valutakurs: 9,6226 ";"03.09.2026";433.31;""
"31.08.2026";"E-varekjøp Bunnpris Våland Løkkeveien Stavanger Dato 31.08 kl. 18.47 ";"01.09.2026";428.81;""
"30.08.2026";"Lønn fra Pizzabakeren  ";"01.09.2026";"";7360.85
"29.08.2026";"Varekjøp Pizzabakeren Stavanger Dato 29.08 kl. 23.12 ";"30.08.2026";434.17;""
"26.08.2026";"Overføring  31318517495 Sara Lund Bursdag Tpp: Vipps ";"27.08.2026";907.3;""
"23.08.2026";"Overføring  74419077666 Tobias Enger Betaling Tpp: Vipps ";"26.08.2026";"";1266.15
"21.08.2026";"Overføring  69912493821 Jonas Vik Konsert Tpp: Vipps ";"23.08.2026";"";60.24
"19.08.2026";"Overføring  44833829974 Erik Solheim Betaling Tpp: Vipps ";"20.08.2026";"";46.8
"18.08.2026";"Overføring  29698336909 Emilie Skog Middag Tpp: Vipps ";"19.08.2026";"";208.57
"17.08.2026";"Varekjøp Biltema Forus Kirkegata Stavanger Dato 17.08 kl. 14.55 ";"19.08.2026";1793.25;""
"16.08.2026";"Lønn fra Pizzabakeren  ";"16.08.2026";"";10120.4
"13.08.2026";"Overføring  84174772121 Erik Solheim Middag Tpp: Vipps ";"13.08.2026";1134.42;""
"10.08.2026";"Varekjøp Pizzabakeren Stavanger Dato 10.08 kl. 20.00 ";"11.08.2026";329.35;""
"07.08.2026";"Kontoregulering  816 Til Sparekonto  ";"09.08.2026";519;""
"06.08.2026";"Visa  100717  Usd 44,79 Cafe Downtown Valutakurs: 10,4082 ";"07.08.2026";466.18;""
"05.08.2026";"Visa  100096  Nok 169,69 Paypal :splice ";"07.08.2026";169.69;""
"05.08.2026";"Visa  100493  Telenor Norge ";"07.08.2026";306.12;""
"02.08.2026";"Lønn fra Pizzabakeren  ";"04.08.2026";"";6580.15
"31.07.2026";"Giro  839 Fremtind Forsikring Efaktura ";"03.08.2026";175.73;""
"28.07.2026";"Varekjøp Bunnpris Våland Madlaveien Stavanger Dato 28.07 kl. 10.56 ";"29.07.2026";332.75;""
"26.07.2026";"Varekjøp Sabrura Stavanger Dato 26.07 kl. 18.51 ";"28.07.2026";166.74;""
"26.07.2026";"Overføring Innland  885 Jonas Vik Bursdag Tpp: Vipps Mobilepay AS";"26.07.2026";"";267.51
"24.07.2026";"Overføring Innland  884 Thea Solberg Lån Tpp: Vipps Mobilepay AS";"24.07.2026";1160.17;""
"24.07.2026";"Varekjøp Sabrura Stavanger Dato 24.07 kl. 11.22 ";"24.07.2026";346.13;""
"22.07.2026";"Varekjøp Bunnpris Våland Madlaveien Stavanger Dato 22.07 kl. 19.22 ";"23.07.2026";276.3;""
"22.07.2026";"Overføring  98055185975 Jonas Vik Bursdag Tpp: Vipps ";"25.07.2026";"";356.73
"22.07.2026";"Varekjøp Elkjøp Amfi Løkkeveien Stavanger Dato 22.07 kl. 15.50 ";"23.07.2026";1953.07;""
"21.07.2026";"Kontoregulering  815 Sparing  ";"22.07.2026";49;""
"20.07.2026";"Varekjøp Kiwi Madla Hillevåg Stavanger Dato 20.07 kl. 15.10 ";"21.07.2026";408;""
"19.07.2026";"Lønn fra Pizzabakeren  ";"20.07.2026";"";9280.6
"16.07.2026";"Kontoregulering  814 Regning  ";"16.07.2026";648;""
"14.07.2026";"Varekjøp Rema Hillevåg Løkkeveien Stavanger Dato 14.07 kl. 14.38 ";"17.07.2026";624.45;""
