"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"12.09.2026";"Overføring Innland  101617939 Nav  ";"14.09.2026";"";5729.98
"10.09.2026";"Giro  820 Fremtind Forsikring Efaktura ";"13.09.2026";157.1;""
"09.09.2026";"Visa  100728  Telenor Norge ";"11.09.2026";1275.24;""
"08.09.2026";"Kontoregulering  875 Til Revolut  ";"10.09.2026";1521;""
"05.09.2026";"Overføring Innland  789 Sara Lund Gave Tpp: Vipps Mobilepay AS";"07.09.2026";96.67;""
"04.09.2026";"Varekjøp Rema Stakkevollan Storgata Tromsø Dato 04.09 kl. 19.58 ";"06.09.2026";603.55;""
"01.09.2026";"Overføring  59651040740 Magnus Tveit Gave Tpp: Vipps ";"03.09.2026";1311.29;""
"29.08.2026";"Overføring Innland  865591102 Nav  ";"01.09.2026";"";6520.06
"28.08.2026";"Kontoregulering  874 Til Revolut  ";"30.08.2026";597;""
"27.08.2026";"Overføring Innland  788 Emilie Skog Fest Tpp: Vipps Mobilepay AS";"29.08.2026";"";603.36
"26.08.2026";"Kontoregulering  873 Sparing  ";"27.08.2026";99;""
"25.08.2026";"Kontoregulering  872 Mobil Overføring  ";"26.08.2026";50;""
"24.08.2026";"Kontoregulering  871 Til Sparekonto  ";"24.08.2026";470;""
"23.08.2026";"Varekjøp Coop Mega Tromsø Sjøgata Tromsø Dato 23.08 kl. 15.40 ";"24.08.2026";264.62;""
"23.08.2026";"Overføring  25872904031 Sara Lund Middag Tpp: Vipps ";"24.08.2026";461.86;""
"23.08.2026";"E-varekjøp Kiwi Sentrum Storgata Tromsø Dato 23.08 kl. 10.10 ";"24.08.2026";125.65;""
"23.08.2026";"Visa  100187  Usd 42,74 Airport Shop Valutakurs: 10,9319 ";"24.08.2026";467.23;""
"20.08.2026";"Varekjøp Clas Ohlson Jekta Grønnegata Tromsø Dato 20.08 kl. 19.09 ";"23.08.2026";1505.75;""
"19.08.2026";"Varekjøp Expert Tromsø Grønnegata Tromsø Dato 19.08 kl. 19.04 ";"20.08.2026";1738.29;""
"18.08.2026";"Overføring Innland  787 Nora Fossum Gave Tpp: Vipps Mobilepay AS";"19.08.2026";580.32;""
"15.08.2026";"Varekjøp Bunnpris Giæverbukta Skippergata Tromsø Dato 15.08 kl. 21.01 ";"16.08.2026";630.54;""
"14.08.2026";"Overføring Innland  959173820 Nav  ";"14.08.2026";"";5841.78
"13.08.2026";"Overføring Innland  786 Markus Dahl Mat Tpp: Vipps Mobilepay AS";"15.08.2026";1306.6;""
"12.08.2026";"Giro  819 Fremtind Forsikring Efaktura ";"13.08.2026";156.23;""
"10.08.2026";"Overføring  36228046632 Sander Bakke Bursdag Tpp: Vipps ";"11.08.2026";"";613.62
"09.08.2026";"Varekjøp Vinmonopolet Tromsø Sjøgata Tromsø Dato 09.08 kl. 10.30 ";"11.08.2026";1789.4;""
"07.08.2026";"Visa  100045  Telenor Norge ";"08.08.2026";1222.61;""
"07.08.2026";"Varekjøp Big Bite Tromsø Dato 07.08 kl. 15.21 ";"08.08.2026";432.71;""
"04.08.2026";"Visa  100481  Nok 120,00 Revolut::8972: ";"04.08.2026";120;""
"03.08.2026";"Varekjøp Kiwi Sentrum Storgata Tromsø Dato 03.08 kl. 17.58 ";"03.08.2026";258.41;""
"02.08.2026";"Varekjøp Coop Mega Tromsø Stakkevollveien Tromsø Dato 02.08 kl. 15.45 ";"05.08.2026";530.57;""
"30.07.2026";"Visa  100126  Eur 25,36 Parking City Center Valutakurs: 11,4487 ";"31.07.2026";290.34;""
"28.07.2026";"Varekjøp Kiwi Sentrum Skippergata Tromsø Dato 28.07 kl. 08.51 ";"28.07.2026";407.83;""
"27.07.2026";"Overføring Innland  682497334 Nav  ";"29.07.2026";"";5886.47
"26.07.2026";"Overføring Innland  785 Thea Solberg  Tpp: Vipps Mobilepay AS";"28.07.2026";1274.03;""
"25.07.2026";"Overføring  36733679467 Silje Rønning Betaling Tpp: Vipps ";"27.07.2026";"";562.12
"24.07.2026";"Varekjøp Kebab House Tromsø Dato 24.07 kl. 15.53 ";"26.07.2026";426.96;""
"24.07.2026";"Varekjøp Clas Ohlson Jekta Stakkevollveien Tromsø Dato 24.07 kl. 19.16 ";"26.07.2026";1052.19;""
"23.07.2026";"Kontoregulering  870 Mobil Overføring  ";"25.07.2026";98;""
"22.07.2026";"Visa  100929  Usd 29,17 Airport Shop Valutakurs: 10,1813 ";"23.07.2026";296.99;""
"21.07.2026";"Visa  100426  Usd 51,98 Airport Shop Valutakurs: 10,0896 ";"21.07.2026";524.46;""
"20.07.2026";"Visa  100248  Nok 59,00 Apple.com/bill ";"22.07.2026";59;""
"18.07.2026";"Visa  100781  Usd 25,00 Claude.ai Subscript Valutakurs: 9,6471 ";"20.07.2026";241.18;""
"15.07.2026";"Visa  100287  Nok 125,00 Google One ";"15.07.2026";125;""
"15.07.2026";"Giro  818 Fremtind Forsikring Efaktura ";"18.07.2026";161.18;""
"13.07.2026";"Varekjøp Bunnpris Giæverbukta Stakkevollveien Tromsø Dato 13.07 kl. 15.02 ";"14.07.2026";408.75;""
"12.07.2026";"Overføring Innland  986204129 Nav  ";"15.07.2026";"";6602.7
"12.07.2026";"Overføring  43477293018 Frida Hovde Betaling Tpp: Vipps ";"12.07.2026";334.41;""
"09.07.2026";"Visa  100815  Telenor Norge ";"12.07.2026";1318.03;""
"07.07.2026";"Varekjøp Expert Tromsø Stakkevollveien Tromsø Dato 07.07 kl. 18.52 ";"09.07.2026";804.38;""
"06.07.2026";"Varekjøp Egon Tromsø Dato 06.07 kl. 18.50 ";"08.07.2026";292.79;""
"06.07.2026";"Kontoregulering  869 Til Sparekonto  ";"06.07.2026";658;""
"06.07.2026";"Kontoregulering  868 Mobil Overføring  ";"08.07.2026";186;""
"03.07.2026";"Overføring Innland  784 Oliver Nystrøm Skyss Tpp: Vipps Mobilepay AS";"05.07.2026";648.71;""
"02.07.2026";"Varekjøp Big Bite Tromsø Dato 02.07 kl. 18.01 ";"03.07.2026";282.97;""
"02.07.2026";"Varekjøp Coop Mega Tromsø Skippergata Tromsø Dato 02.07 kl. 13.50 ";"04.07.2026";442.28;""
"29.06.2026";"Varekjøp Egon Tromsø Dato 29.06 kl. 10.46 ";"02.07.2026";306.29;""
"28.06.2026";"Varekjøp Coop Mega Tromsø Stakkevollveien Tromsø Dato 28.06 kl. 13.33 ";"30.06.2026";644.72;""
"26.06.2026";"Overføring Innland  791740545 Nav  ";"28.06.2026";"";5961.99
"25.06.2026";"Kontoregulering  867 Til Revolut  ";"26.06.2026";1605;""
"23.06.2026";"Varekjøp Vinmonopolet Tromsø Stakkevollveien Tromsø Dato 23.06 kl. 09.42 ";"25.06.2026";1661.77;""
"22.06.2026";"Varekjøp Kiwi Sentrum Storgata Tromsø Dato 22.06 kl. 20.56 ";"25.06.2026";598.21;""
"20.06.2026";"Kontoregulering  866 Til Sparekonto  ";"20.06.2026";1531;""
