"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"14.09.2026";"Lønn fra Extra Sørlandsparken  ";"16.09.2026";"";9840.6
"14.09.2026";"Varekjøp Kiwi Lund Dronningens Gate Kristiansand Dato 14.09 kl. 10.29 ";"17.09.2026";146.98;""
"13.09.2026";"Varekjøp Jula Kristiansand Vestre Strandgate Kristiansand Dato 13.09 kl. 14.39 ";"14.09.2026";847.04;""
"12.09.2026";"Visa  100319  Nok 120,00 Revolut::2783: ";"12.09.2026";120;""
"11.09.2026";"Kontoregulering  747 Sparing  ";"12.09.2026";553;""
"09.09.2026";"Giro  753 Fremtind Forsikring Efaktura ";"11.09.2026";159.66;""
"06.09.2026";"Visa  100438  Usd 22,44 Supermarket Abroad Valutakurs: 9,6867 ";"07.09.2026";217.37;""
"03.09.2026";"Visa  100996  Sek 26,38 Airport Shop Valutakurs: 1,0266 ";"04.09.2026";27.08;""
"02.09.2026";"Kontoregulering  746 Til Revolut  ";"05.09.2026";1507;""
"02.09.2026";"E-varekjøp Rema Vågsbygd Vestre Strandgate Kristiansand Dato 02.09 kl. 20.51 ";"03.09.2026";541.61;""
"02.09.2026";"Kontoregulering  745 Mobil Overføring  ";"03.09.2026";96;""
"31.08.2026";"Overføring Innland  713 Jonas Vik Mat Tpp: Vipps Mobilepay AS";"02.09.2026";936.41;""
"30.08.2026";"Overføring Innland  171579472 Nav  ";"02.09.2026";"";6391.92
"30.08.2026";"Overføring Innland  712 Jonas Vik Mat Tpp: Vipps Mobilepay AS";"31.08.2026";1336.86;""
"30.08.2026";"Visa  100987  Nok 500,00 Revolut::4724: ";"31.08.2026";500;""
"29.08.2026";"Overføring Innland  711 Nora Fossum Middag Tpp: Vipps Mobilepay AS";"30.08.2026";"";543.81
"28.08.2026";"Visa  100529  Sek 27,51 Cafe Downtown Valutakurs: 1,0168 ";"30.08.2026";27.97;""
"25.08.2026";"Kontoregulering  744 Sparing  ";"27.08.2026";544;""
"23.08.2026";"Varekjøp Ikea Sørlandsparken Kvadraturen Kristiansand Dato 23.08 kl. 19.35 ";"26.08.2026";1738.97;""
"22.08.2026";"Varekjøp Kebab Corner Dato 22.08 kl. 19.43 ";"23.08.2026";358.79;""
"21.08.2026";"Varekjøp Bunnpris Grim Dronningens Gate Kristiansand Dato 21.08 kl. 17.03 ";"23.08.2026";236.35;""
"19.08.2026";"Visa  100670  Telenor Norge ";"21.08.2026";1289.85;""
"18.08.2026";"Visa  100449  Nok 154,15 Paypal :discord ";"19.08.2026";154.15;""
"17.08.2026";"E-varekjøp Extra Sørlandsparken Dronningens Gate Kristiansand Dato 17.08 kl. 21.08 ";"20.08.2026";379.03;""
"14.08.2026";"Lønn fra Extra Sørlandsparken  ";"16.08.2026";"";10920.35
"12.08.2026";"Kontoregulering  743 Mat  ";"13.08.2026";98;""
"09.08.2026";"Giro  752 Fremtind Forsikring Efaktura ";"09.08.2026";162.18;""
"08.08.2026";"Kontoregulering  742 Mobil Overføring  ";"09.08.2026";3069;""
"06.08.2026";"Varekjøp Bunnpris Grim Gyldenløves Gate Kristiansand Dato 06.08 kl. 09.13 ";"08.08.2026";153.37;""
"05.08.2026";"Overføring  11440594292 Live Brekke Mat Tpp: Vipps ";"07.08.2026";309.61;""
"05.08.2026";"Overføring  60113640557 Nora Fossum Kino Tpp: Vipps ";"06.08.2026";301.16;""
"05.08.2026";"Overføring  47133858974 Jonas Vik Konsert Tpp: Vipps ";"05.08.2026";"";558.93
"02.08.2026";"Visa  100938  Usd 25,00 Claude.ai Subscript Valutakurs: 11,2586 ";"05.08.2026";281.46;""
"30.07.2026";"Overføring Innland  968357653 Nav  ";"01.08.2026";"";6245.11
"30.07.2026";"Overføring  31368284753 Nora Fossum  Tpp: Vipps ";"02.08.2026";948.15;""
"29.07.2026";"Kontoregulering  741 Bensin  ";"01.08.2026";149;""
"28.07.2026";"Kontoregulering  740 Til Revolut  ";"28.07.2026";1018;""
"28.07.2026";"Overføring Innland  710 Jonas Vik  Tpp: Vipps Mobilepay AS";"31.07.2026";"";1114.91
"27.07.2026";"Varekjøp Bunnpris Grim Vestre Strandgate Kristiansand Dato 27.07 kl. 16.19 ";"27.07.2026";453.66;""
"24.07.2026";"Varekjøp Kebab Corner Dato 24.07 kl. 17.18 ";"26.07.2026";427.95;""
"24.07.2026";"Kontoregulering  739 Mat  ";"25.07.2026";180;""
"24.07.2026";"Varekjøp Mcdonalds Sørlandsparken Dato 24.07 kl. 14.16 ";"24.07.2026";112.45;""
"21.07.2026";"Overføring  42624062368 Vilde Kleven Mat Tpp: Vipps ";"23.07.2026";66.54;""
"19.07.2026";"Varekjøp Sørlandssenteret Elkjøp Gyldenløves Gate Kristiansand Dato 19.07 kl. 20.32 ";"21.07.2026";782.32;""
"19.07.2026";"Overføring Innland  709 Tobias Enger Mat Tpp: Vipps Mobilepay AS";"20.07.2026";813.09;""
