"Dato";"Forklaring";"Rentedato";"Ut fra konto";"Inn på konto"
"14.09.2026";"Lønn fra Trondheim Kommune  ";"14.09.2026";"";17845.3
"12.09.2026";"Varekjøp Peppes Pizza Trondheim Dato 12.09 kl. 10.47 ";"14.09.2026";430.24;""
"09.09.2026";"Varekjøp Egon Trondheim Torg Dato 09.09 kl. 10.36 ";"12.09.2026";402.32;""
"07.09.2026";"Giro  714 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"10.09.2026";426.36;""
"05.09.2026";"Giro  713 Fremtind Forsikring Efaktura ";"05.09.2026";153.6;""
"05.09.2026";"Overføring  83606299334 Sander Bakke Fest Tpp: Vipps ";"07.09.2026";"";519.28
"02.09.2026";"Varekjøp Rema Elgeseter Prinsens Gate Trondheim Dato 02.09 kl. 14.11 ";"03.09.2026";544.29;""
"31.08.2026";"Lønn fra Trondheim Kommune  ";"02.09.2026";"";18220.1
"29.08.2026";"Kontoregulering  893 Til Sparekonto  ";"31.08.2026";911;""
"28.08.2026";"Varekjøp Kebabhuset Elgeseter Dato 28.08 kl. 14.53 ";"28.08.2026";447.99;""
"28.08.2026";"Visa  100591  Usd 25,00 Claude.ai Subscript Valutakurs: 9,8431 ";"29.08.2026";246.08;""
"26.08.2026";"Kontoregulering  892 Mat  ";"26.08.2026";503;""
"26.08.2026";"Overføring  38802794843 Emilie Skog Bursdag Tpp: Vipps ";"28.08.2026";763.6;""
"26.08.2026";"Kontoregulering  891 Til Sparekonto  ";"27.08.2026";137;""
"25.08.2026";"Varekjøp Vinmonopolet Trondheim Elgeseter Gate Trondheim Dato 25.08 kl. 10.07 ";"27.08.2026";1998.42;""
"25.08.2026";"Overføring  26641978370 Sara Lund Gave Tpp: Vipps ";"28.08.2026";617.68;""
"22.08.2026";"Overføring  70402138722 Emilie Skog Middag Tpp: Vipps ";"22.08.2026";999.08;""
"21.08.2026";"Varekjøp Mcdonalds 57900021 Dato 21.08 kl. 12.08 ";"22.08.2026";292.59;""
"19.08.2026";"Varekjøp Kebabhuset Elgeseter Dato 19.08 kl. 17.59 ";"20.08.2026";306.93;""
"16.08.2026";"Overføring  80749432500 Fredrik Nesheim Bursdag Tpp: Vipps ";"16.08.2026";269.32;""
"15.08.2026";"Varekjøp Vinmonopolet Trondheim Munkegata Trondheim Dato 15.08 kl. 20.57 ";"18.08.2026";1715.79;""
"12.08.2026";"Lønn fra Trondheim Kommune  ";"14.08.2026";"";16950.75
"12.08.2026";"Overføring Innland  893 Emma Fjeldstad Mat Tpp: Vipps Mobilepay AS";"13.08.2026";"";1025.11
"11.08.2026";"Kontoregulering  890 Sparing  ";"12.08.2026";54;""
"08.08.2026";"Visa  100775  Telenor Norge ";"09.08.2026";421.37;""
"06.08.2026";"Varekjøp Bunnpris Singsaker Innherredsveien Trondheim Dato 06.08 kl. 21.27 ";"07.08.2026";534.85;""
"03.08.2026";"Giro  712 Fremtind Forsikring Efaktura ";"03.08.2026";158.13;""
"31.07.2026";"Kontoregulering  889 Sparing  ";"31.07.2026";99;""
"30.07.2026";"Varekjøp Vinmonopolet Trondheim Innherredsveien Trondheim Dato 30.07 kl. 09.33 ";"30.07.2026";815.95;""
"29.07.2026";"Visa  100054  Nok 100,00 Steam Purchase ";"31.07.2026";100;""
"28.07.2026";"Visa  100356  Nok 170,34 Paypal :splice ";"29.07.2026";170.34;""
"27.07.2026";"Lønn fra Trondheim Kommune  ";"29.07.2026";"";18480.4
"26.07.2026";"Visa  100206  Sek 16,08 Supermarket Abroad Valutakurs: 1,0132 ";"28.07.2026";16.29;""
"23.07.2026";"Visa  100881  Nok 125,00 Google One ";"24.07.2026";125;""
"23.07.2026";"Varekjøp Ikea Trondheim Innherredsveien Trondheim Dato 23.07 kl. 17.01 ";"26.07.2026";242.5;""
"23.07.2026";"Varekjøp Biltema Avd 118 Munkegata Trondheim Dato 23.07 kl. 12.52 ";"24.07.2026";1012.05;""
"23.07.2026";"Varekjøp Kebabhuset Elgeseter Dato 23.07 kl. 23.40 ";"25.07.2026";220.8;""
"23.07.2026";"E-varekjøp Kiwi 341 Moholt Innherredsveien Trondheim Dato 23.07 kl. 17.28 ";"24.07.2026";531.77;""
"22.07.2026";"Varekjøp Kebabhuset Elgeseter Dato 22.07 kl. 12.06 ";"24.07.2026";213.3;""
"21.07.2026";"Kontoregulering  888 Bensin  ";"24.07.2026";287;""
"21.07.2026";"Varekjøp Vinmonopolet Trondheim Elgeseter Gate Trondheim Dato 21.07 kl. 16.34 ";"22.07.2026";288.34;""
"19.07.2026";"Overføring  31386727803 Amalie Strand Bursdag Tpp: Vipps ";"19.07.2026";"";1185.08
"19.07.2026";"Varekjøp Mcdonalds 57900021 Dato 19.07 kl. 16.28 ";"22.07.2026";271.37;""
"16.07.2026";"Varekjøp Mcdonalds 57900021 Dato 16.07 kl. 16.30 ";"18.07.2026";222.98;""
"13.07.2026";"Overføring Innland  892 Noah Berge Middag Tpp: Vipps Mobilepay AS";"14.07.2026";"";1391.68
"11.07.2026";"Giro  711 Telenor Norge AS Mobil Efaktura Tpp: Vipps Mobilepay AS";"12.07.2026";385.21;""
"10.07.2026";"Varekjøp Bunnpris Singsaker Munkegata Trondheim Dato 10.07 kl. 13.06 ";"10.07.2026";614.8;""
"08.07.2026";"Lønn fra Trondheim Kommune  ";"11.07.2026";"";17390.6
"08.07.2026";"Varekjøp Clas Ohlson Trondheim Munkegata Trondheim Dato 08.07 kl. 09.20 ";"09.07.2026";720.11;""
"06.07.2026";"Giro  710 Fremtind Forsikring Efaktura ";"07.07.2026";153.45;""
